City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,lichinga,-13.3128,35.2406,59.18,90,100,6.82,MZ,1713244008
183,galeana,24.8333,-100.0667,75.07,24,99,8.08,MX,1713244008
184,ponta delgada,37.7333,-25.6667,65.19,94,75,14.97,PT,1713244008
185,pisco,-13.7,-76.2167,67.01,88,9,2.3,PE,1713243771
186,port moresby,-9.4431,147.1797,83.93,77,96,6.49,PG,1713244008
187,siwa oasis,29.2041,25.5195,70.54,44,99,10.54,EG,1713244008
188,vilyuchinsk,52.9306,158.4028,39.47,97,100,4.83,RU,1713243747
189,berdigestyakh,62.0989,126.6992,31.06,85,99,7.9,RU,1713244008
190,kavaratti,10.5669,72.642,85.12,73,40,6.35,IN,1713243781
191,oumache,34.6929,5.6809,66.0,50,8,21.27,DZ,1713244009
192,bismarck,46.8083,-100.7837,49.86,64,100,17.27,US,1713243784
193,adrar,20.5022,-10.0711,71.56,19,0,8.05,MR,1713244009
194,tughyl,47.7252,84.2063,47.59,70,100,4.27,KZ,1713243909
195,inhambane,-23.865,35.3833,67.98,88,40,0.0,MZ,1713244009
196,santa terezinha,-29.9002,-50.0904,73.58,95,100,17.69,BR,1713244009
197,nar'yan-mar,67.6713,53.087,18.1,95,100,15.99,RU,1713244009
198,muana,-1.5283,-49.2167,75.0,97,100,2.01,BR,1713243950
199,tazovsky,67.4667,78.7,23.0,95,100,17.92,RU,1713243775
200,kavieng,-2.5744,150.7967,84.83,73,21,4.18,PG,1713243756
201,itubera,-13.7322,-39.1492,72.82,97,78,2.89,BR,1713244011
202,ekibastuz,51.6667,75.3667,47.52,56,100,1.45,KZ,1713243838
203,port alfred,-33.5906,26.891,69.31,89,11,19.35,ZA,1713243756
204,christchurch,-43.5333,172.6333,64.47,65,8,11.5,NZ,1713243952
205,edd,13.9297,41.6925,83.05,67,56,11.34,ER,1713244011
206,kribi,2.95,9.9167,80.38,88,91,3.42,CM,1713244011
207,waddan,29.1614,16.139,78.85,21,62,14.99,LY,1713244011
208,whitecourt,54.1502,-115.6855,40.24,38,20,2.3,CA,1713243745
209,funafuti,-8.5243,179.1942,81.61,81,100,9.55,TV,1713244011
210,remire-montjoly,4.9167,-52.2667,82.44,83,75,11.5,GF,1713243774
211,colonia,50.9333,6.95,43.03,79,100,21.85,DE,1713243756
212,moose jaw,50.4001,-105.5344,55.26,48,99,19.64,CA,1713244011
213,margaret river,-33.95,115.0667,75.22,51,0,11.41,AU,1713243740
214,veinticinco de mayo,-35.4323,-60.1727,64.98,100,98,11.01,AR,1713244011
215,utrik,11.2278,169.8474,81.03,83,54,17.83,MH,1713243731
216,kemijarvi,66.7131,27.4306,27.39,93,100,10.45,FI,1713244012
217,amble,55.3333,-1.5833,46.54,71,75,19.57,GB,1713244012
218,villiers,-27.0303,28.6006,50.45,87,3,5.59,ZA,1713244012
219,svetlyy yar,48.4748,44.781,56.8,66,100,19.55,RU,1713244012
220,kasongo-lunda,-6.4667,16.8167,71.46,98,91,1.7,CD,1713243739
221,novodvinsk,64.4165,40.8122,36.79,100,100,3.42,RU,1713243746
222,sitka,57.0531,-135.33,40.93,70,1,3.74,US,1713243743
223,akureyri,65.6835,-18.0878,16.27,94,91,4.27,IS,1713244012
224,kingston,17.997,-76.7936,81.55,74,20,3.44,JM,1713243851
225,dokshytsy,54.8924,27.7689,39.6,74,70,4.76,BY,1713244012
226,tanumah,27.1,44.1333,64.26,55,84,14.88,SA,1713244012
227,pacasmayo,-7.4006,-79.5714,70.32,80,50,10.89,PE,1713244012
228,zelenogorskiy,55.0333,87.0,40.05,55,58,2.98,RU,1713244012
229,luanda,-8.8368,13.2343,80.6,91,75,6.91,AO,1713243748
230,boca do acre,-8.7522,-67.3978,72.82,99,100,1.97,BR,1713243728
231,caxito,-8.5785,13.6643,75.63,98,99,3.29,AO,1713243858
232,berezovyy,51.6667,135.7,48.51,79,100,1.41,RU,1713244013
233,huarmey,-10.0681,-78.1522,70.29,88,31,10.22,PE,1713243770
234,las tablas,7.7667,-80.2833,77.18,99,94,13.29,PA,1713243912
235,chonchi,-42.6128,-73.8092,56.12,90,100,4.14,CL,1713243749
236,fisterra,42.9049,-9.2629,54.75,76,14,21.07,ES,1713244013
237,greymouth,-42.4667,171.2,56.84,79,70,2.48,NZ,1713244013
238,kongsvinger,60.1905,11.9977,31.46,82,30,5.19,NO,1713244011
239,kidal,18.4411,1.4078,70.3,21,100,13.58,ML,1713243759
240,oriximina,-1.7656,-55.8661,76.1,96,98,3.94,BR,1713244013
241,sabang,5.8933,95.3214,84.31,75,86,8.72,ID,1713244013
242,angaur state,6.906,134.13,82.94,79,100,13.11,PW,1713244013
243,roccella ionica,38.322,16.4009,66.74,64,100,10.13,IT,1713244014
244,konin,52.2234,18.2512,40.89,75,78,20.96,PL,1713243983
245,taltal,-25.4,-70.4833,63.99,63,0,2.1,CL,1713244014
246,den burg,53.0542,4.7972,48.18,84,75,23.02,NL,1713244014
247,magadan,59.5667,150.8,25.54,77,100,1.74,RU,1713243730
248,sirvintos,55.05,24.95,39.63,71,82,7.9,LT,1713244014
249,ylitornio,66.3089,23.6773,28.96,90,100,10.36,FI,1713244014
250,guerrero negro,27.9769,-114.0611,59.94,77,80,16.62,MX,1713244014
251,bastia,42.6667,9.3333,66.02,60,0,5.75,FR,1713244014
252,tekeli,44.83,78.8239,48.4,100,100,8.9,KZ,1713244014
253,yigo village,13.5361,144.8886,87.12,70,75,13.8,GU,1713244014
254,saipan,15.1355,145.701,80.71,78,43,11.03,MP,1713243744
255,tarakan,3.3,117.6333,89.1,70,40,5.75,ID,1713243864
256,hobyo,5.3505,48.5268,86.72,71,69,12.12,SO,1713244015
257,rathenow,52.6066,12.337,42.12,92,100,13.15,DE,1713244015
258,kodinsk,58.6881,99.1844,25.45,69,100,12.84,RU,1713243963
259,aasiaat,68.7098,-52.8699,-2.85,98,36,8.86,GL,1713244015
260,yaren,-0.5472,166.916,83.12,72,99,9.1,NR,1713244015
261,antofagasta,-23.65,-70.4,61.88,66,0,10.31,CL,1713243811
262,azacualpa,15.3433,-88.5514,71.06,100,62,1.34,HN,1713244015
263,kone,-21.0595,164.8658,78.51,63,99,5.37,NC,1713244015
264,flin flon,54.7682,-101.865,39.87,65,100,11.61,CA,1713243748
265,vadso,70.0744,29.7487,29.28,80,75,20.71,NO,1713244015
266,qashyr,53.0675,76.1036,42.91,51,4,4.0,KZ,1713244015
267,dzilam gonzalez,21.2833,-88.9333,74.88,70,9,7.45,MX,1713244016
268,as sulayyil,20.4607,45.5779,75.45,33,16,16.15,SA,1713243737
269,faya-largeau,17.9257,19.1043,79.21,12,87,13.04,TD,1713244016
270,launceston,-41.45,147.1667,64.15,42,40,3.44,AU,1713244016
271,hinton,53.4001,-117.5857,29.35,94,100,4.34,CA,1713244016
272,zhezqazghan,47.7833,67.7667,55.98,47,0,2.24,KZ,1713243842
273,chibougamau,49.9168,-74.3659,28.02,80,100,6.91,CA,1713243726
274,al kharijah,25.4514,30.5464,70.83,29,42,7.99,EG,1713244016
275,vorgashor,67.5833,63.95,28.8,95,100,10.36,RU,1713243746
276,tongchuanshi,35.0806,109.0897,65.8,26,96,8.37,CN,1713244016
277,gemena,3.25,19.7667,74.01,94,96,2.24,CD,1713244016
278,gadzhiyevo,69.2551,33.3362,26.73,66,99,21.79,RU,1713243742
279,peace river,56.2501,-117.286,37.83,93,88,14.27,CA,1713244016
280,georgetown,5.4112,100.3354,90.95,89,40,5.75,MY,1713244016
281,natal,-5.795,-35.2094,80.82,94,20,4.61,BR,1713243790
282,nadym,65.5333,72.5167,28.96,85,91,19.55,RU,1713244017
283,at taj,24.2049,23.2857,68.72,19,25,9.01,LY,1713244017
284,isla vista,34.4133,-119.861,60.3,80,0,3.44,US,1713243805
285,xudat,41.631,48.681,66.61,44,7,4.34,AZ,1713244017
286,walvis bay,-22.9575,14.5053,60.48,58,4,9.08,NA,1713243747
287,port elizabeth,-33.918,25.5701,65.1,98,8,3.0,ZA,1713244017
288,myaydo,19.3667,95.2167,105.46,15,0,7.99,MM,1713244017
289,emerald,-23.5333,148.1667,88.34,38,16,12.33,AU,1713244017
290,saint-philippe,-21.3585,55.7679,76.59,84,100,13.89,RE,1713244017
291,sao vicente,-23.9631,-46.3919,80.78,26,93,1.23,BR,1713243750
292,kattivakkam,13.2167,80.3167,93.13,53,68,11.5,IN,1713244018
293,ribeira grande,38.5167,-28.7,59.77,93,100,5.99,PT,1713244018
294,cururupu,-1.8283,-44.8683,74.21,99,89,0.36,BR,1713243797
295,sabha,27.0377,14.4283,69.58,25,35,15.14,LY,1713244018
296,khanty-mansiysk,61.0042,69.0019,37.51,48,0,11.18,RU,1713243929
297,san luis de la loma,17.2706,-100.8939,78.89,68,73,6.46,MX,1713244018
298,pacific grove,36.6177,-121.9166,54.7,86,40,4.61,US,1713243764
299,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,94,75,8.95,RU,1713243920
300,queenstown,-31.8976,26.8753,52.14,92,37,1.68,ZA,1713244018
301,pangody,65.85,74.4859,28.2,87,99,19.71,RU,1713244018
302,santana,-0.0583,-51.1817,75.74,97,99,3.18,BR,1713244018
303,olyokminsk,60.3736,120.4264,42.84,67,93,8.93,RU,1713244018
304,laojunmiao,39.8333,97.7333,65.05,9,31,15.86,CN,1713244019
305,kisangani,0.5167,25.2,72.28,99,100,2.13,CD,1713243788
306,dwarka,22.2394,68.9678,85.55,56,74,11.83,IN,1713244019
307,saint-leu,-21.15,55.2833,79.63,83,97,14.7,RE,1713243851
308,luganville,-15.5333,167.1667,80.76,88,99,12.44,VU,1713244019
309,houmt el souk,33.8758,10.8575,64.35,88,15,9.22,TN,1713244019
310,essaouira,31.5125,-9.77,65.39,63,74,17.52,MA,1713244019
311,yuzhno-kurilsk,44.0306,145.8556,51.37,76,40,10.18,RU,1713244019
312,saint-pierre,-21.3393,55.4781,76.68,88,40,20.71,RE,1713243788
313,assab,13.0092,42.7394,82.58,80,66,13.11,ER,1713244019
314,portrush,55.1959,-6.6493,44.47,75,57,18.14,GB,1713244019
315,prado,-17.3411,-39.2208,77.16,82,50,9.46,BR,1713244019
316,nizao,18.25,-70.2,75.47,90,100,9.51,DO,1713244020
317,midvagur,62.0511,-7.1939,34.63,86,75,20.71,FO,1713244020
318,kismayo,-0.3582,42.5454,83.44,75,88,13.56,SO,1713244020
319,st. paul,44.9444,-93.0933,61.32,29,0,12.66,US,1713243872
320,aykhal,66.0,111.5,31.12,99,100,2.3,RU,1713243874
321,palangkaraya,-2.2,113.8333,92.57,58,30,0.43,ID,1713243782
322,curitibanos,-27.2828,-50.5844,65.05,99,100,5.59,BR,1713244003
323,tsiombe,-25.3,45.4833,72.93,71,80,15.84,MG,1713244020
324,hirara,24.8,125.2833,78.98,80,5,5.06,JP,1713244020
325,nova vicosa,-17.8919,-39.3719,78.64,75,31,12.73,BR,1713243788
326,nyurba,63.2842,118.3319,33.48,100,100,5.88,RU,1713244020
327,maebashi,36.3911,139.0608,74.08,35,80,6.35,JP,1713243855
328,puerto baquerizo moreno,-0.9,-89.6,75.51,90,89,7.67,EC,1713244021
329,port augusta,-32.5,137.7667,74.21,40,0,15.46,AU,1713243752
330,kolonia,50.9333,6.95,43.03,79,100,21.85,DE,1713244011
331,dryden,49.7833,-92.7503,35.64,83,98,6.89,CA,1713244021
332,ulety,51.3572,112.4849,61.45,38,45,7.31,RU,1713244021
333,kefamenanu,-9.4467,124.4781,82.18,72,58,10.45,ID,1713244021
334,horta,38.5333,-28.6333,59.02,93,100,4.0,PT,1713243759
335,pyapon,16.2833,95.6833,103.26,19,2,5.77,MM,1713244021
336,ta`u,-14.2336,-169.5144,83.82,79,98,15.43,AS,1713243752
337,el granada,37.5027,-122.4694,57.34,84,0,13.8,US,1713244021
338,olinda,-8.0089,-34.8553,82.13,89,75,11.5,BR,1713243753
339,saurimo,-9.6608,20.3916,65.37,99,65,3.94,AO,1713244021
340,hammerfest,70.6634,23.6821,28.85,80,75,13.8,NO,1713244021
341,klyuchi,52.2667,79.1667,45.03,50,9,6.98,RU,1713244021
342,praia da vitoria,38.7333,-27.0667,62.76,96,100,20.98,PT,1713244022
343,molde,62.7375,7.1591,35.71,86,0,6.91,NO,1713244022
344,beidaihehaibin,39.8222,119.5181,62.47,33,0,11.95,CN,1713243920
345,brisas de zicatela,15.8369,-97.0419,81.91,71,91,7.23,MX,1713244022
346,ulaangom,49.9811,92.0667,50.02,47,75,4.14,MN,1713244022
347,dakhla,23.6848,-15.958,70.75,47,0,10.38,EH,1713244022
348,anse a galets,18.8317,-72.8642,80.35,78,0,3.91,HT,1713244022
349,vaxjo,56.8777,14.8091,39.25,98,0,3.44,SE,1713244022
350,parral,26.9333,-105.6667,69.6,20,100,14.72,MX,1713244022
351,kotka,60.4664,26.9458,40.32,94,100,6.4,FI,1713244022
352,arauca,7.0847,-70.7591,84.16,61,0,3.89,CO,1713244022
353,ballina,-28.8667,153.5667,82.78,61,63,11.83,AU,1713244023
354,taoudenni,22.6783,-3.9836,73.62,22,0,4.99,ML,1713244023
355,belyy yar,53.6039,91.3903,42.69,52,75,8.95,RU,1713243758
356,yermentau,51.6214,73.1069,48.11,51,37,2.13,KZ,1713244023
357,marsa alam,25.0757,34.8918,75.04,57,5,15.46,EG,1713243865
358,jaguarari,-10.2639,-40.1958,67.33,99,72,5.75,BR,1713244023
359,suomussalmi,64.8869,28.9078,29.55,90,99,10.2,FI,1713244023
360,kapa'a,22.0752,-159.319,76.98,80,19,5.99,US,1713243738
361,pirae,-17.5167,-149.5333,84.22,70,75,5.99,PF,1713244023
362,la junta,37.985,-103.5438,48.49,23,0,10.36,US,1713244023
363,weno,7.4515,151.8468,80.55,89,100,3.44,FM,1713244023
364,ocean city,39.2776,-74.5746,62.85,76,19,5.01,US,1713243850
